university_id;program_id;course_start_date;students_number;university_name;university_created_date;program_title;program_category;faculty_id;faculty_info
67;804;30/05/2021;1489;Ward-King;01/11/2022;Design de Fotografia Avançada;Artes e Design;;
289;207;30/06/2020;876;Brown, Clark and Bryan;04/07/2023;Gestão de Services de Nutrição Digital;Saúde;108; Centro de Estudos de Gestão e Negócios Aliança 
202;284;26/08/2022;1581;Swanson-Robbins;08/05/2022;Gestão de Agronegócio Estratégica;Negócios;;
259;244;08/10/2022;3853;Santos-Harding;08/12/2022;Logística de Projetos Digital;Negócios;80; Escola Superior de Astronomia Inovação 
259;244;08/10/2022;3853;Santos-Harding;08/12/2022;Logística de Projetos Digital;Negócios;92; Escola Superior de Tecnologia da Informação Integração 
438;748;10/09/2024;1986;Graham Group;07/05/2025;Comunicação de Interiores Digital;Artes e Design;63; Instituto Superior de Gastronomia Saber Vivo 
40;886;05/10/2020;2711;Nixon Inc;23/11/2023;Licenciatura em Relações Internacionais Estratégica;Humanas;;
264;164;02/12/2021;4803;Nguyen, Mcintosh and Carter;20/05/2023;Tecnologia em Radiologia Avançada;Saúde;;
5;430;29/08/2021;726;Taylor-Bowers;06/06/2024;Comunicação de Fotografia Integrada;Artes e Design;;
497;898;12/03/2022;1223;Black LLC;15/02/2024;Administração de Recursos Humanos Aplicada;Negócios;24; Instituto Superior de Engenharia e Arquitetura Saber Vivo 
497;898;12/03/2022;1223;Black LLC;15/02/2024;Administração de Recursos Humanos Aplicada;Negócios;82; Faculdade de Direito e Relações Internacionais Integração 
238;881;02/04/2023;467;Oconnor and Sons;14/11/2024;MBA em Projetos;Negócios;89; Instituto Superior de Gestão e Negócios Luz do Conhecimento 
310;597;03/11/2025;1280;Larsen-Davis;30/04/2025;Produção de Interiores Estratégica;Artes e Design;;
109;486;12/03/2022;483;Wang-Joseph;14/01/2025;Gestão de Services de Biomedicina Integrada;Saúde;;
282;667;30/10/2022;1889;Ross, Walker and Gordon;28/01/2022;MBA em Inovação Moderna;Negócios;75; Escola Superior de Engenharia e Arquitetura do Amanhã 
145;32;11/06/2023;4340;Hall, Escobar and Wilson;01/12/2024;Ciências de Pedagogia Avançada;Humanas;;
447;168;20/03/2023;751;Grimes-White;23/09/2024;Design de Multimídia Moderna;Artes e Design;53; Centro de Estudos de Tecnologia da Informação Meta 
242;411;23/06/2020;1966;Robles-Dunn;11/02/2026;MBA em Agronegócio Moderna;Negócios;;
462;517;22/11/2025;4689;Pena-Mitchell;11/07/2025;Bacharelado em Enfermagem e Inovação;Saúde;90; Escola Superior de Psicologia Aplicada Excelência 
285;904;20/07/2022;1180;Gomez, Simmons and Coleman;08/01/2026;Engenharia de Dados Integrada;Tecnologia;137; Centro de Estudos de Artes e Design do Amanhã 
279;302;06/12/2020;4169;Williams, White and Melton;06/04/2023;Artes em Multimídia Moderna;Artes e Design;;
339;457;30/01/2025;1429;Kirk-Obrien;02/02/2023;Consultoria em Comércio Exterior Avançada;Negócios;;
271;465;21/04/2024;4974;Hall-Medina;09/05/2022;Design de Moda Moderna;Artes e Design;;
478;187;01/05/2020;1880;Smith-Brown;25/05/2025;MBA em Inovação Avançada;Negócios;;
196;557;14/11/2025;1671;Waters, Acosta and Alvarez;15/03/2024;Comunicação de Multimídia Digital;Artes e Design;;
273;34;25/09/2025;4982;Morrison-Nichols;30/04/2024;Bacharelado em Direito Civil e Inovação;Humanas;66; Faculdade de Educação Física União 
343;386;17/12/2025;3402;Dunn Group;14/02/2025;Gestão de Projetos Avançada;Negócios;;
73;290;16/10/2024;1320;Hansen, Gallegos and Ortiz;01/09/2025;Gestão em Jogos Digitais;Tecnologia;;
213;623;18/12/2022;2243;Good and Sons;15/11/2023;Análise de Inteligência Artificial Digital;Tecnologia;;
411;409;21/04/2022;4233;Smith-Tucker;14/04/2022;Administração de Finanças Avançada;Negócios;;
281;715;23/07/2023;3355;Ware PLC;13/02/2023;Desenvolvimento de Inteligência Artificial Estratégica;Tecnologia;;
458;165;09/11/2024;3039;Cooke, Blake and Turner;31/05/2023;Artes em Moda Moderna;Artes e Design;42; Instituto Superior de Comunicação e Marketing Excelência 
381;754;15/07/2021;4499;Turner, Stein and Moreno;22/03/2023;Bacharelado em Biomedicina e Inovação;Saúde;;
359;771;13/10/2024;670;Hunt PLC;06/05/2021;Bacharelado em Biomedicina Sustentável;Saúde;;
473;194;18/01/2021;4027;Osborne-Cummings;16/11/2025;Bacharelado em Letras Sustentável;Humanas;;
53;898;04/06/2023;868;Alexander, Soto and Harvey;10/12/2024;Administração de Recursos Humanos Aplicada;Negócios;;
196;764;21/02/2021;1757;Waters, Acosta and Alvarez;15/03/2024;Ciências de História Contemporânea Sustentável;Humanas;;
39;772;28/12/2022;2690;Gibson, Hayden and Melton;02/05/2021;Gestão de Services de Gerontologia Sustentável;Saúde;;
196;306;01/08/2024;2014;Waters, Acosta and Alvarez;15/03/2024;Gestão de Services de Nutrição Sustentável;Saúde;;
101;492;23/10/2021;466;Kelly-Jackson;23/11/2022;Especialização em Psicologia Hospitalar Sustentável;Saúde;;
364;922;11/01/2025;896;Navarro-Hunter;17/09/2023;Gestão em Sistemas Embarcados Avançada;Tecnologia;;
337;424;16/05/2025;1075;Rice LLC;22/02/2023;Consultoria em Marketing Digital Aplicada;Negócios;;
164;520;09/05/2023;1665;Martin-Dickerson;09/06/2022;Sistemas de Blockchain;Tecnologia;;
240;73;30/11/2023;1858;Werner PLC;14/12/2021;Gestão de Finanças Estratégica;Negócios;;
277;474;13/04/2025;2669;Bell-Ferguson;04/09/2023;Sistemas de Jogos Digitais e Inovação;Tecnologia;193; Faculdade de Gastronomia Inovação 
114;45;23/06/2021;314;Tucker PLC;20/11/2024;MBA em Inovação Aplicada;Negócios;190; Instituto Superior de Educação Física União 
94;351;15/04/2025;4610;Graham PLC;18/04/2025;Produção de Animação Aplicada;Artes e Design;;
413;317;13/11/2025;2481;Gilmore, Arnold and Snow;25/07/2024;Gestão em Jogos Digitais Estratégica;Tecnologia;;
178;172;06/07/2024;3361;Le-Obrien;04/03/2023;Artes em Animação e Inovação;Artes e Design;;
183;177;23/10/2020;4426;Mccarthy Group;21/12/2022;Tecnologia em Saúde Pública e Inovação;Saúde;43; Instituto Superior de Comunicação e Marketing Horizonte 
183;177;23/10/2020;4426;Mccarthy Group;21/12/2022;Tecnologia em Saúde Pública e Inovação;Saúde;57; Escola Superior de Ciências Médicas Horizonte 
49;573;20/05/2021;2517;Cox-Hughes;03/01/2023;Design de Multimídia Estratégica;Artes e Design;;
197;905;02/02/2026;2635;Jones Group;27/08/2025;Gestão de Comércio Exterior Avançada;Negócios;95; Faculdade de Música Luz do Conhecimento 
318;539;17/10/2023;1862;Avery and Sons;06/05/2023;Gestão de Services de Fisioterapia Avançada;Saúde;105; Escola Superior de Gestão e Negócios Excelência 
318;539;17/10/2023;1862;Avery and Sons;06/05/2023;Gestão de Services de Fisioterapia Avançada;Saúde;187; Faculdade de Psicologia Aplicada União 
74;801;11/12/2020;472;Lewis-Hogan;29/05/2023;Licenciatura em Pedagogia Aplicada;Humanas;52; Centro de Estudos de Logística Progresso 
167;178;25/12/2020;2762;Dennis Ltd;17/01/2025;Bacharelado em Sociologia Aplicada;Humanas;;
292;52;12/03/2020;754;Powell, David and Taylor;20/01/2022;Gestão de Empresas Avançada;Negócios;99; Centro de Estudos de Engenharia e Arquitetura Luz do Conhecimento 
186;754;08/09/2023;2600;Rios Ltd;20/05/2025;Bacharelado em Biomedicina e Inovação;Saúde;;
474;45;20/04/2020;3738;Miller Ltd;28/03/2023;MBA em Inovação Aplicada;Negócios;154; Centro de Estudos de Ciências Humanas União 
34;434;21/01/2022;331;Meyer and Sons;06/11/2023;Tecnologia em Radiologia e Inovação;Saúde;;
201;443;09/09/2024;1015;Lawson and Sons;02/02/2023;MBA em Comércio Exterior Estratégica;Negócios;;
33;33;25/10/2021;177;Mills Ltd;29/10/2024;MBA em Finanças Aplicada;Negócios;;
266;200;22/01/2022;626;Thompson, Jackson and Pineda;02/03/2022;Ciências de Letras;Humanas;;
341;981;02/08/2020;2466;Elliott and Sons;23/05/2023;Gestão de Agronegócio Avançada;Negócios;;
344;645;21/07/2021;209;Shaw, Avila and Davis;04/05/2021;Bacharelado em Enfermagem Estratégica;Saúde;;
6;25;11/05/2023;3026;Carter Inc;01/07/2025;Gestão de Services de Saúde Pública Sustentável;Saúde;;
138;553;15/07/2023;3428;Sanchez-Chen;17/07/2022;Especialização em Saúde Pública Aplicada;Saúde;;
199;96;30/03/2022;4861;Smith PLC;16/01/2023;Licenciatura em Pedagogia e Inovação;Humanas;;
323;650;14/11/2024;3568;Cox-Park;06/02/2023;Bacharelado em Direito Civil Moderna;Humanas;;
268;619;07/10/2022;346;Graham-Williams;18/12/2022;Tecnologia em Psicologia Hospitalar;Saúde;;
326;913;15/11/2022;3495;Olson LLC;10/07/2023;Tecnologia em Radiologia Moderna;Saúde;8; Instituto Superior de Direito e Relações Internacionais do Amanhã 
326;913;15/11/2022;3495;Olson LLC;10/07/2023;Tecnologia em Radiologia Moderna;Saúde;14; Instituto Superior de Comunicação e Marketing Integração 
153;608;18/04/2021;3766;Hale, Sullivan and Willis;24/11/2022;Comunicação de Publicidade;Artes e Design;17; Faculdade de Artes e Design Excelência 
295;173;10/02/2021;845;Bailey-Garcia;31/12/2023;Artes em Publicidade Sustentável;Artes e Design;;
45;520;01/10/2025;4070;Ellis-Williams;09/05/2023;Sistemas de Blockchain;Tecnologia;38; Centro de Estudos de Logística Horizonte 
121;894;23/10/2024;1639;Ferguson, Smith and Garza;17/08/2021;Gestão de Projetos Integrada;Negócios;86; Instituto Superior de Direito e Relações Internacionais Excelência 
29;57;14/07/2022;4526;Smith and Sons;02/05/2024;Gestão em Inteligência Artificial Digital;Tecnologia;;
175;793;26/10/2025;825;Miller Inc;29/06/2024;Logística de Empresas Integrada;Negócios;149; Instituto Superior de Psicologia Aplicada do Amanhã 
427;34;26/08/2022;2568;Bishop, Smith and Johnston;14/09/2024;Bacharelado em Direito Civil e Inovação;Humanas;;
7;735;27/02/2022;2408;Wilson, Arnold and Lopez;16/09/2024;Especialização em Enfermagem Aplicada;Saúde;;
377;79;24/08/2022;372;Cannon Inc;26/03/2021;Artes em Moda Digital;Artes e Design;155; Instituto Superior de Agronegócio Fronteiras 
397;806;28/07/2022;1830;Bridges Inc;06/10/2022;MBA em Agronegócio Sustentável;Negócios;;
82;308;16/02/2022;2565;Clark Inc;01/02/2024;Sistemas de Dados Estratégica;Tecnologia;126; Centro de Estudos de Astronomia Pioneiros 
485;142;07/07/2023;749;Boyd-Taylor;09/11/2022;Gestão de Services de Radiologia Estratégica;Saúde;;
274;73;21/10/2020;1780;Robinson and Sons;14/06/2024;Gestão de Finanças Estratégica;Negócios;;
45;457;12/11/2025;3627;Ellis-Williams;09/05/2023;Consultoria em Comércio Exterior Avançada;Negócios;38; Centro de Estudos de Logística Horizonte 
225;533;16/06/2020;313;Gutierrez, Allen and Alvarado;13/05/2025;Especialização em Fisioterapia Integrada;Saúde;;
453;499;27/11/2022;3100;Wiggins-Johnson;17/08/2024;Análise de Sistemas Embarcados Estratégica;Tecnologia;;
376;154;31/07/2021;4863;Kelly, Murphy and Jones;27/01/2026;Gestão em Software Digital;Tecnologia;;
109;507;19/03/2023;1660;Wang-Joseph;14/01/2025;Comunicação de Animação Digital;Artes e Design;;
312;368;20/11/2021;1443;Curry, Morris and Perez;28/10/2023;Estudos de Filosofia Integrada;Humanas;23; Faculdade de Gestão e Negócios Meta 
132;604;14/03/2022;3336;Nicholson-Singleton;09/05/2023;Análise de TI Digital;Tecnologia;;
79;534;28/12/2025;3756;Armstrong, David and Johnson;02/10/2023;Tecnologia em Gerontologia Estratégica;Saúde;;
472;315;05/01/2025;2113;Mercado Inc;14/05/2021;Administração de Inovação Moderna;Negócios;;
182;924;25/04/2020;1961;Weber-Golden;25/06/2021;Tecnologia em Saúde Pública Aplicada;Saúde;;
26;882;25/06/2021;1505;Wood and Sons;02/02/2023;Bacharelado em Letras Moderna;Humanas;161; Faculdade de Ciências Humanas Horizonte 
236;207;08/12/2023;3977;Long-Lopez;18/05/2023;Gestão de Services de Nutrição Digital;Saúde;171; Centro de Estudos de Artes e Design Aliança 
17;247;09/07/2025;706;George-Gibson;14/07/2025;Desenvolvimento de Software Estratégica;Tecnologia;;
452;991;31/01/2022;4250;Johnston PLC;18/03/2024;Desenvolvimento de Dados Integrada;Tecnologia;;
152;961;31/12/2023;4956;Bailey Ltd;06/03/2021;Sistemas de Blockchain Moderna;Tecnologia;;
418;309;01/09/2024;3880;Harrington, Wong and Day;20/10/2024;Análise de Sistemas Embarcados;Tecnologia;;
76;527;25/09/2020;1724;Schmidt Ltd;18/08/2024;Licenciatura em Direito Civil Estratégica;Humanas;;
297;736;06/02/2020;2417;Burgess and Sons;18/06/2022;Artes em Animação Aplicada;Artes e Design;;
447;503;26/08/2024;1816;Grimes-White;23/09/2024;Licenciatura em História Contemporânea Sustentável;Humanas;53; Centro de Estudos de Tecnologia da Informação Meta 
28;634;08/11/2022;932;Trevino-Pham;09/02/2026;Sistemas de Nuvem Integrada;Tecnologia;;
346;365;28/11/2023;1609;Rodriguez, West and Dyer;05/02/2025;Produção de Moda Estratégica;Artes e Design;;
305;728;06/09/2024;860;Benjamin, Ewing and Martinez;17/12/2022;Design de Moda Aplicada;Artes e Design;160; Centro de Estudos de Tecnologia da Informação Pioneiros 
472;280;17/10/2025;306;Mercado Inc;14/05/2021;Ciências de História Contemporânea;Humanas;;
245;367;07/07/2024;3774;Sparks and Sons;09/12/2022;MBA em Agronegócio Aplicada;Negócios;;
230;452;30/11/2025;3682;Dalton, Dougherty and Liu;14/11/2024;Engenharia de Jogos Digitais Estratégica;Tecnologia;150; Escola Superior de Tecnologia da Informação Aliança 
499;144;31/08/2020;3171;Harris, Mullen and Brown;30/11/2022;Ciências de História Contemporânea Digital;Humanas;;
191;370;29/10/2021;2808;Lyons PLC;02/02/2023;Consultoria em Recursos Humanos Estratégica;Negócios;117; Centro de Estudos de Gestão e Negócios Tradição 
130;799;30/08/2023;4033;Malone-Navarro;03/06/2025;Análise de Dados Sustentável;Tecnologia;;
374;471;15/04/2022;3038;Reyes, Phillips and Johnson;25/04/2023;Bacharelado em História Contemporânea Estratégica;Humanas;;
91;16;26/10/2025;941;Washington-Evans;24/08/2024;Ciências de Geografia Sustentável;Humanas;;
399;368;06/07/2022;353;Craig, Christian and Mcintyre;20/04/2025;Estudos de Filosofia Integrada;Humanas;;
227;870;03/04/2021;2353;Sullivan LLC;07/06/2023;MBA em Empresas Digital;Negócios;;
276;700;29/03/2024;2301;Ortiz LLC;29/08/2022;Comunicação de Multimídia e Inovação;Artes e Design;;
272;948;03/04/2020;4176;Green, Allison and Williams;20/05/2021;Bacharelado em Relações Internacionais Integrada;Humanas;;
470;861;02/06/2022;2141;Martinez-Harris;19/10/2024;Administração de Empresas Estratégica;Negócios;;
497;270;07/06/2021;3028;Black LLC;15/02/2024;Sistemas de Redes e Inovação;Tecnologia;24; Instituto Superior de Engenharia e Arquitetura Saber Vivo 
497;270;07/06/2021;3028;Black LLC;15/02/2024;Sistemas de Redes e Inovação;Tecnologia;82; Faculdade de Direito e Relações Internacionais Integração 
329;552;23/07/2025;4589;Roberts, Gomez and Vasquez;16/01/2022;Logística de Empresas;Negócios;125; Instituto Superior de Ciências Humanas Inovação 
362;835;29/09/2022;2986;Powell-Simmons;24/03/2022;Logística de Agronegócio Integrada;Negócios;153; Instituto Superior de Ciências Médicas Saber Vivo 
54;860;17/01/2020;3043;Shepard PLC;17/11/2023;Design de Audiovisual Aplicada;Artes e Design;;
163;561;27/11/2025;655;Miller-Jackson;11/05/2024;Design de Interiores Integrada;Artes e Design;;
97;505;25/12/2021;3809;Ortiz Ltd;12/11/2024;Sistemas de TI Moderna;Tecnologia;152; Centro de Estudos de Logística Meta 
359;235;17/12/2025;2885;Hunt PLC;06/05/2021;Engenharia de Nuvem Estratégica;Tecnologia;;
182;485;03/03/2025;4019;Weber-Golden;25/06/2021;Análise de Nuvem Moderna;Tecnologia;;
473;628;19/08/2024;3628;Osborne-Cummings;16/11/2025;Bacharelado em Radiologia Digital;Saúde;;
2;302;27/02/2022;4400;Cole-Vasquez;07/01/2023;Artes em Multimídia Moderna;Artes e Design;;
347;152;19/02/2022;2324;Noble, Brown and Terry;14/01/2025;Estudos de História Contemporânea e Inovação;Humanas;;
276;727;15/01/2026;2536;Ortiz LLC;29/08/2022;Especialização em Enfermagem Sustentável;Saúde;;
297;351;01/07/2024;4007;Burgess and Sons;18/06/2022;Produção de Animação Aplicada;Artes e Design;;
385;418;08/05/2025;2915;Roach, Haynes and Gregory;17/03/2025;Artes em Gráfico Integrada;Artes e Design;;
429;991;30/04/2023;3683;Spence, Hunt and Huynh;23/12/2023;Desenvolvimento de Dados Integrada;Tecnologia;61; Escola Superior de Tecnologia da Informação Progresso 
172;351;02/07/2021;2297;Arnold-Lynch;07/03/2025;Produção de Animação Aplicada;Artes e Design;;
410;331;28/09/2023;2059;Martinez, Perez and Briggs;16/08/2025;Bacharelado em Enfermagem Integrada;Saúde;;
310;297;11/02/2023;596;Larsen-Davis;30/04/2025;Gestão de Services de Nutrição Moderna;Saúde;;
343;602;05/11/2020;693;Dunn Group;14/02/2025;Engenharia de Sistemas Embarcados Avançada;Tecnologia;;
376;747;29/09/2022;3319;Kelly, Murphy and Jones;27/01/2026;Comunicação de Moda Avançada;Artes e Design;;
273;624;22/11/2025;1522;Morrison-Nichols;30/04/2024;Artes em Publicidade Aplicada;Artes e Design;66; Faculdade de Educação Física União 
470;649;14/05/2025;4471;Martinez-Harris;19/10/2024;Engenharia de Sistemas Embarcados Aplicada;Tecnologia;;
411;390;18/12/2025;1396;Smith-Tucker;14/04/2022;Estudos de Letras Moderna;Humanas;;
25;820;24/05/2024;706;Mitchell and Sons;08/03/2021;Comunicação de Multimídia Integrada;Artes e Design;12; Centro de Estudos de Astronomia Vanguarda 
17;58;10/09/2023;2659;George-Gibson;14/07/2025;Engenharia de Blockchain Estratégica;Tecnologia;;
200;29;02/01/2022;1505;Johnson-Castillo;01/07/2021;MBA em Finanças Moderna;Negócios;91; Instituto Superior de Comunicação e Marketing Saber Vivo 
200;29;02/01/2022;1505;Johnson-Castillo;01/07/2021;MBA em Finanças Moderna;Negócios;142; Faculdade de Astronomia Fronteiras 
24;53;24/10/2020;3347;Erickson Inc;14/11/2024;Análise de Cibersegurança e Inovação;Tecnologia;;
403;333;29/06/2021;2680;Jones-Roman;19/07/2024;Artes em Fotografia Avançada;Artes e Design;;
262;113;13/10/2023;3263;Reyes-Boyd;13/01/2024;Licenciatura em Filosofia;Humanas;3; Escola Superior de Logística Pioneiros 
262;113;13/10/2023;3263;Reyes-Boyd;13/01/2024;Licenciatura em Filosofia;Humanas;136; Faculdade de Tecnologia da Informação do Amanhã 
262;113;13/10/2023;3263;Reyes-Boyd;13/01/2024;Licenciatura em Filosofia;Humanas;165; Instituto Superior de Gestão e Negócios Fronteiras 
241;498;14/08/2021;2348;Nelson, Harris and Jordan;13/02/2025;Bacharelado em Psicologia Hospitalar Moderna;Saúde;;
416;515;26/03/2022;3303;Lee Ltd;24/10/2024;Licenciatura em Letras Estratégica;Humanas;54; Centro de Estudos de Comunicação e Marketing Saber Vivo 
416;515;26/03/2022;3303;Lee Ltd;24/10/2024;Licenciatura em Letras Estratégica;Humanas;97; Faculdade de Agronegócio Aliança 
383;69;05/08/2021;1765;Sutton Ltd;08/09/2025;Ciências de Sociologia Digital;Humanas;141; Escola Superior de Astronomia Meta 
383;69;05/08/2021;1765;Sutton Ltd;08/09/2025;Ciências de Sociologia Digital;Humanas;170; Escola Superior de Gestão e Negócios Fronteiras 
342;43;22/11/2023;2512;Williams Group;13/03/2025;Desenvolvimento de Nuvem;Tecnologia;;
350;756;06/04/2021;4980;Holland LLC;18/02/2024;Design de Audiovisual;Artes e Design;103; Escola Superior de Biociências Saber Vivo 
350;756;06/04/2021;4980;Holland LLC;18/02/2024;Design de Audiovisual;Artes e Design;177; Escola Superior de Direito e Relações Internacionais Tradição 
246;687;14/12/2021;4072;Jones-Oliver;21/11/2025;MBA em Comércio Exterior Sustentável;Negócios;85; Centro de Estudos de Psicologia Aplicada Meta 
383;555;30/03/2025;637;Sutton Ltd;08/09/2025;Análise de TI Moderna;Tecnologia;141; Escola Superior de Astronomia Meta 
383;555;30/03/2025;637;Sutton Ltd;08/09/2025;Análise de TI Moderna;Tecnologia;170; Escola Superior de Gestão e Negócios Fronteiras 
113;391;28/04/2021;3302;Smith PLC;18/03/2021;Tecnologia em Nutrição;Saúde;;
167;822;18/01/2025;2101;Dennis Ltd;17/01/2025;Design de Animação Integrada;Artes e Design;;
355;877;27/10/2022;2807;Johnson-Adkins;14/01/2026;Artes em Fotografia e Inovação;Artes e Design;164; Faculdade de Logística Vanguarda 
168;321;20/03/2024;4430;Faulkner-Gomez;23/12/2025;Especialização em Enfermagem;Saúde;;
136;740;28/12/2020;598;Ellis-Spencer;07/09/2021;Gestão de Services de Radiologia e Inovação;Saúde;;
319;550;25/11/2020;3426;Turner, King and Fleming;10/09/2024;Bacharelado em Direito Civil Integrada;Humanas;107; Instituto Superior de Direito e Relações Internacionais Vanguarda 
302;323;10/08/2021;1651;Alexander Inc;20/10/2021;MBA em Marketing Digital Aplicada;Negócios;;
186;953;06/06/2024;4346;Rios Ltd;20/05/2025;Gestão em Redes Avançada;Tecnologia;;
225;474;14/03/2022;2220;Gutierrez, Allen and Alvarado;13/05/2025;Sistemas de Jogos Digitais e Inovação;Tecnologia;;
264;572;15/08/2022;364;Nguyen, Mcintosh and Carter;20/05/2023;Design de Animação Estratégica;Artes e Design;;
34;706;08/03/2021;3346;Meyer and Sons;06/11/2023;Bacharelado em Fisioterapia Estratégica;Saúde;;
78;198;25/11/2024;4439;Curry, Hopkins and Richardson;19/08/2025;Especialização em Gerontologia;Saúde;;
102;184;15/09/2025;4049;Hart, Moyer and Fleming;12/06/2023;Bacharelado em Sociologia Moderna;Humanas;138; Centro de Estudos de Direito e Relações Internacionais Horizonte 
473;496;06/06/2020;1111;Osborne-Cummings;16/11/2025;Gestão de Services de Gerontologia Moderna;Saúde;;
109;277;07/06/2024;3286;Wang-Joseph;14/01/2025;Administração de Empresas Digital;Negócios;;
125;346;12/12/2024;3200;Hansen Ltd;18/12/2024;Engenharia de Cibersegurança;Tecnologia;;
266;1000;20/07/2025;577;Thompson, Jackson and Pineda;02/03/2022;Desenvolvimento de Software e Inovação;Tecnologia;;
207;125;22/03/2021;2517;Ortega, Hernandez and Davis;17/06/2022;MBA em Projetos Digital;Negócios;106; Centro de Estudos de Tecnologia da Informação Fronteiras 
207;125;22/03/2021;2517;Ortega, Hernandez and Davis;17/06/2022;MBA em Projetos Digital;Negócios;183; Centro de Estudos de Direito e Relações Internacionais Excelência 
482;798;25/07/2024;4493;Thompson PLC;20/12/2023;Design de Multimídia Integrada;Artes e Design;;
477;413;14/10/2021;2251;Brown, Wilson and Gibson;10/05/2023;Bacharelado em Enfermagem Moderna;Saúde;;
497;851;24/04/2020;404;Black LLC;15/02/2024;Ciências de Relações Internacionais Avançada;Humanas;24; Instituto Superior de Engenharia e Arquitetura Saber Vivo 
497;851;24/04/2020;404;Black LLC;15/02/2024;Ciências de Relações Internacionais Avançada;Humanas;82; Faculdade de Direito e Relações Internacionais Integração 
38;801;17/06/2021;4417;Ross-Woods;27/07/2021;Licenciatura em Pedagogia Aplicada;Humanas;;
249;863;17/08/2021;1235;Mcneil and Sons;31/10/2025;Administração de Empresas Aplicada;Negócios;135; Instituto Superior de Engenharia e Arquitetura Pioneiros 
249;863;17/08/2021;1235;Mcneil and Sons;31/10/2025;Administração de Empresas Aplicada;Negócios;173; Escola Superior de Ciências Humanas Pioneiros 
371;773;16/10/2024;2902;Jordan, Gonzalez and Rice;30/07/2021;Especialização em Fisioterapia Moderna;Saúde;;
149;248;20/07/2021;1314;Garrett Inc;14/11/2023;Artes em Animação Estratégica;Artes e Design;;
